c5hillal,Hill,Alfred
g7guridi,Guridi,Jesus
c9klamiu,Klami,Uuno
c8riegge,Riegger,Wallingford
g6ibertj,Ibert,Jacques
c5irelan,Ireland,John
g9kalomi,Kalomiris,Manolis
g9hartma,Hartmann,Karl Amadeus
c8hindem,Hindemith,Paul
c9lajtha,Lajtha,Laszlo
c7poulen,Poulenc,Francis
c9szelig,Szeligowski,Tadeusz
g9dysong,Dyson,George
g5tocher,Toch,Ernst
c6cowell,Cowell,Henry
c7varese,Varese,Edgard
c9gianni,Giannini,Vittorio
c5nystro,Nystroem,Gosta
g9porter,Porter,Quincy
g7kodaly,Kodaly,Zoltan
g6vermeu,Vermeulen,Matthijs
c8castel,Castelnuovo-Tedesco,Mario
c6lyatos,Lyatoshynsky,Borys
c7pizzet,Pizzetti,Ildebrando
c5lindeb,Linde,Bo
g7mckayg,McKay,George Frederick
c8scottc,Scott,Cyril
g6rawsth,Rawsthorne,Alan
c8ruggle,Ruggles,Carl
c6stravi,Stravinsky,Igor
c9brianh,Brian,Havergal
c7grofef,Grofe,Ferde
c6malipi,Malipiero,Gian Francesco
c5mosolo,Mosolov,Alexander
g9atterb,Atterberg,Kurt
c9jolive,Jolivet,Andre
c6martin,Martin,Frank
c5milhau,Milhaud,Darius
g7scherb,Scherber,Martin
c6welles,Wellesz,Egon
c7blissa,Bliss,Arthur
c7dallap,Dallapiccola,Luigi
c8shosta,Shostakovich,Dmitri
c9britte,Britten,Benjamin
c6anders,Anderson,Leroy
c9piston,Piston,Walter
g5khacha,Khachaturian,Aram
c6eggekl,Egge,Klaus
c9harris,Harris,Roy
c6petter,Pettersson,Allan
g8barber,Barber,Samuel
c5bennet,Bennett,Robert Russell
c5hanson,Hanson,Howard
c9tveitt,Tveitt,Geirr
c8orffca,Orff,Carl
c5tubine,Tubin,Eduard
c9auricg,Auric,Georges
c7ginast,Ginastera,Alberto
c8howell,Howells,Herbert
c9ivanov,Ivanovs,Janis
g7markev,Markevitch,Igor
c6mennin,Mennin,Peter
g6taille,Tailleferre,Germaine
c9walton,Walton,William
g9thomps,Thompson,Randall
c9alwynw,Alwyn,William
g6cresto,Creston,Paul
c7rosenb,Rosenberg,Hilding
g5sessio,Sessions,Roger
c7larsso,Larsson,Lars-Erik
c5rubbra,Rubbra,Edmund
c9tansma,Tansman,Alexandre
c9feldma,Feldman,Morton
c8kabale,Kabalevsky,Dmitri
c7nyireg,Nyiregyhazi,Ervin
g5persic,Persichetti,Vincent
c5johnso,Johnson,David N.
c8leight,Leighton,Kenneth
c5berkel,Berkeley,Lennox
g7saugue,Sauguet,Henri
c8thomso,Thomson,Virgil
c7bernst,Bernstein,Leonard
c9coplan,Copland,Aaron
c6nonolu,Nono,Luigi
c8orbonj,Orbon,Julian
g7panufn,Panufnik,Andrzej
c7albert,Albert,Stephen
c5cagejo,Cage,John
g8messia,Messiaen,Olivier
c8piazzo,Piazzolla,Astor
g9schuma,Schuman,William
c7guarni,Guarnieri,Camargo
c6flagel,Flagello,Nicolas
g9lutosl,Lutoslawski,Witold
c7maconc,Maconchy,Elizabeth
c9rozsam,Rozsa,Miklos
c8yunisa,Yun,Isang
g8deniso,Denisov,Edison
c9holmbo,Holmboe,Vagn
c6kokkon,Kokkonen,Joonas
c9talmal,Talma,Louise
c8tchaik,Tchaikovsky,Boris
g6takemi,Takemitsu,Toru
c6weinbe,Weinberg,Mieczyslaw
c7franca,Francaix,Jean
c5nancar,Nancarrow,Conlon
c9simpso,Simpson,Robert
c7kimear,Kim,Earl
g9koppel,Koppel,Herman David
c6lloydg,Lloyd,George
c9schnit,Schnittke,Alfred
c7tippet,Tippett,Michael
c9englun,Englund,Einar
c9lieber,Liebermann,Rolf
c8rodrig,Rodrigo,Joaquin
c7hovhan,Hovhaness,Alan
c5helpsr,Helps,Robert
g8lilbur,Lilburn,Douglas
c8ornste,Ornstein,Leo
g7beriol,Berio,Luciano
c7petras,Petrassi,Goffredo
g9diamon,Diamond,David
g7eberha,Eberhard,Dennis
c9rochbe,Rochberg,George
c7arnold,Arnold,Malcolm
g5ligeti,Ligeti,Gyorgy
c8menott,Menotti,Gian Carlo
c6stockh,Stockhausen,Karlheinz

